applicant_id,age,income,credit_score,employment_years,education,gender,ethnicity,loan_amount,loan_purpose,approved
A00000,44,70328,609,4.6,High School,Female,White,46712,auto,1
A00001,53,85424,732,2.5,High School,Female,Asian,14748,business,1
A00002,36,20000,674,9.9,High School,Male,White,28176,home,1
A00003,62,110448,726,5.8,Master,Female,White,25751,auto,1
A00004,64,62021,665,6.0,Bachelor,Male,Black,16402,home,1
A00005,54,89901,617,2.0,High School,Male,Hispanic,10883,home,1
A00006,40,61839,689,13.0,Other,Male,White,15648,auto,1
A00007,59,50481,578,21.4,Bachelor,Male,White,98606,education,1
A00008,53,41556,723,4.5,Bachelor,Female,White,53635,personal,1
A00009,43,61101,605,6.4,Bachelor,Female,Black,49826,home,1
A00010,40,40658,753,1.3,Bachelor,Male,Other,11740,education,1
A00011,57,82514,652,9.6,Bachelor,Female,White,6973,business,1
A00012,45,20000,765,5.3,Bachelor,Male,Other,52954,auto,1
A00013,29,35420,590,2.9,PhD,Male,White,45424,business,0
A00014,64,167191,625,5.5,Bachelor,Female,Hispanic,24582,education,0
A00015,24,33669,710,5.6,Bachelor,Male,Asian,16375,education,1
A00016,51,42480,773,0.5,High School,Female,Black,6828,home,1
A00017,49,28866,813,15.8,PhD,Male,White,44087,home,1
A00018,46,59964,683,4.9,Bachelor,Female,White,56891,personal,1
A00019,23,31515,827,4.2,High School,Male,White,12793,personal,1
A00020,42,43854,656,1.6,Other,Male,Black,11967,education,0
A00021,60,81578,767,4.9,Bachelor,Female,Other,59447,education,1
A00022,31,32232,604,1.2,High School,Female,White,13180,education,1
A00023,51,78681,713,3.3,High School,Male,White,91422,education,1
A00024,58,80284,492,5.9,Bachelor,Female,White,20186,business,0
A00025,62,92316,590,12.1,Other,Male,Black,16167,education,0
A00026,43,53333,717,0.1,Bachelor,Male,Black,22835,home,1
A00027,34,300000,575,2.3,High School,Male,White,16166,home,1
A00028,51,92292,714,1.2,Bachelor,Female,Hispanic,54228,personal,0
A00029,42,59571,752,18.2,Bachelor,Female,White,44741,business,1
A00030,48,28982,639,1.8,High School,Female,Black,52600,home,0
A00031,53,46247,602,2.4,PhD,Female,White,25530,home,0
A00032,52,115358,642,4.9,High School,Male,White,15289,auto,1
A00033,31,136724,602,1.1,PhD,Male,Black,21867,education,1
A00034,54,119014,671,3.8,Master,Male,Black,15669,education,0
A00035,44,78520,688,26.1,High School,Female,White,71202,home,1
A00036,61,23077,655,0.9,Master,Male,Hispanic,49110,home,0
A00037,50,65663,813,0.2,Master,Female,White,20471,auto,1
A00038,60,23275,622,0.5,Bachelor,Female,White,10496,education,1
A00039,64,20080,791,5.3,Bachelor,Female,Other,75559,auto,1
A00040,64,56584,596,12.8,High School,Male,Asian,24571,education,0
A00041,53,67098,685,3.6,High School,Male,White,19848,home,1
A00042,47,84290,774,4.7,Master,Female,Asian,76093,personal,1
A00043,26,66057,770,2.4,High School,Female,Hispanic,14647,personal,1
A00044,37,67437,646,3.6,High School,Male,White,17066,auto,1
A00045,41,27152,724,12.2,Bachelor,Female,White,18313,personal,1
A00046,55,46028,713,5.3,High School,Female,White,7682,education,1
A00047,46,20000,636,17.9,Master,Male,Black,28355,home,1
A00048,40,20000,729,8.6,Master,Female,Asian,11969,auto,1
A00049,27,76449,828,8.2,Master,Male,White,13952,home,1
A00050,52,31198,717,7.9,High School,Non-binary,White,12537,business,1
A00051,40,82743,725,8.1,Bachelor,Male,White,13771,business,1
A00052,22,95321,733,10.6,Master,Male,White,11258,business,1
A00053,33,33806,563,2.0,Bachelor,Male,Hispanic,26843,home,0
A00054,59,69855,716,2.7,Master,Female,White,19448,auto,1
A00055,26,32968,598,8.5,Bachelor,Non-binary,Black,22888,education,1
A00056,38,20000,632,14.9,Bachelor,Male,White,144788,home,1
A00057,43,52785,850,3.2,High School,Male,Hispanic,19449,home,1
A00058,24,36955,659,2.1,Master,Male,Hispanic,35737,auto,1
A00059,28,37644,620,0.7,High School,Male,Black,39143,education,0
A00060,62,160364,772,0.5,PhD,Female,White,20946,home,1
A00061,46,20000,604,5.2,Bachelor,Male,Black,27420,personal,1
A00062,30,61680,644,1.6,High School,Non-binary,Black,22394,education,1
A00063,28,26987,779,14.3,Master,Female,Black,25901,home,1
A00064,39,84538,683,1.0,Bachelor,Male,Black,13777,home,1
A00065,52,58633,555,3.6,High School,Female,Asian,14833,personal,1
A00066,53,61550,723,8.0,Other,Non-binary,White,22326,education,1
A00067,29,27807,648,2.4,Master,Female,White,4548,personal,1
A00068,52,30966,803,3.0,Bachelor,Female,Other,72901,business,1
A00069,60,85506,631,23.8,Master,Male,White,124080,personal,1
A00070,30,141843,764,0.7,Bachelor,Male,Asian,25242,personal,1
A00071,22,65393,822,5.2,Bachelor,Female,Black,37510,business,1
A00072,63,28611,611,2.5,High School,Male,Asian,52304,personal,0
A00073,43,60075,664,1.1,High School,Female,Black,7633,personal,1
A00074,55,210340,711,16.6,Bachelor,Female,Hispanic,46287,auto,1
A00075,35,52127,611,6.0,Bachelor,Male,Hispanic,15659,education,0
A00076,34,117842,701,1.6,Master,Male,White,137665,personal,1
A00077,30,31438,662,4.1,Bachelor,Male,White,18946,personal,1
A00078,30,47798,660,8.5,Bachelor,Female,White,45549,home,0
A00079,41,71092,683,3.2,Master,Male,White,19096,home,0
A00080,25,62217,685,3.0,Other,Male,Other,127689,auto,1
A00081,58,30951,693,4.6,Bachelor,Female,White,14619,business,1
A00082,43,30160,632,1.9,PhD,Female,Hispanic,55942,auto,0
A00083,61,88696,635,0.1,Master,Female,White,36364,business,1
A00084,43,100200,670,14.5,High School,Female,White,30438,home,1
A00085,34,121453,676,0.3,Bachelor,Male,Other,26455,home,1
A00086,43,144691,644,5.5,High School,Non-binary,White,12918,business,1
A00087,27,53144,705,0.7,Master,Female,Black,2782,auto,0
A00088,57,40671,534,0.7,Bachelor,Male,White,52026,home,1
A00089,52,110259,621,4.1,Bachelor,Male,White,14897,auto,1
A00090,27,75195,657,1.4,Master,Male,White,56144,auto,1
A00091,46,27187,611,11.0,Bachelor,Female,Black,29183,education,0
A00092,44,26365,810,1.6,Bachelor,Female,White,57538,personal,1
A00093,29,65851,681,12.5,PhD,Female,Hispanic,41836,home,1
A00094,26,44074,694,10.8,Other,Non-binary,Black,3066,business,1
A00095,54,48249,641,17.7,Master,Male,White,36023,auto,1
A00096,32,93294,678,5.6,High School,Female,White,16731,education,1
A00097,43,77297,582,14.4,High School,Female,White,55938,auto,0
A00098,31,108871,666,1.2,High School,Female,Hispanic,35346,auto,1
A00099,49,20000,605,10.8,Bachelor,Male,White,35681,education,0
A00100,23,57070,657,2.0,High School,Female,White,17715,education,0
A00101,36,74370,475,12.1,PhD,Female,White,10613,home,0
A00102,45,20000,589,7.2,Master,Male,White,15579,home,0
A00103,40,33092,797,4.8,Bachelor,Female,Black,5219,auto,1
A00104,47,29605,746,6.1,High School,Male,White,13735,personal,0
A00105,28,49663,785,5.8,Bachelor,Male,White,6827,auto,1
A00106,40,130185,791,1.6,Bachelor,Female,White,6973,education,1
A00107,54,164975,733,5.8,Master,Male,Black,24177,education,1
A00108,35,30074,643,17.9,High School,Female,Black,33766,auto,0
A00109,27,67233,597,5.4,Master,Female,White,21473,home,1
A00110,58,68547,771,0.8,High School,Male,White,14779,education,1
A00111,55,61856,685,11.3,High School,Male,Black,10322,personal,1
A00112,50,62279,850,1.8,Other,Male,White,17089,personal,1
A00113,56,58820,650,7.6,High School,Male,Black,11409,auto,1
A00114,55,134934,837,0.4,High School,Female,White,20946,education,0
A00115,53,94985,667,2.3,Bachelor,Male,White,6520,auto,1
A00116,43,25949,786,0.1,Bachelor,Non-binary,White,38601,personal,1
A00117,21,79018,815,5.0,High School,Male,White,13993,education,1
A00118,47,83735,598,4.2,High School,Male,Black,29762,personal,1
A00119,33,59217,641,4.4,High School,Female,White,44791,personal,1
A00120,55,96650,597,9.8,Bachelor,Female,White,28632,auto,1
A00121,41,54876,581,2.8,High School,Female,White,41743,education,1
A00122,60,55286,733,1.9,Master,Female,White,4216,education,1
A00123,47,52719,664,0.3,PhD,Female,Black,14849,auto,0
A00124,45,20000,684,4.7,High School,Male,Hispanic,53234,personal,0
A00125,61,46712,724,8.9,Bachelor,Male,Other,33103,education,1
A00126,41,32828,531,14.0,High School,Non-binary,White,96642,auto,1
A00127,37,24055,782,0.6,High School,Male,White,86120,education,1
A00128,37,115891,652,0.8,High School,Female,White,27991,personal,1
A00129,59,66338,722,1.7,Master,Female,Asian,18005,education,1
A00130,54,48151,729,13.1,Bachelor,Female,White,10231,business,1
A00131,28,34930,789,2.8,Bachelor,Female,White,15053,personal,1
A00132,42,58553,671,6.0,Master,Non-binary,Hispanic,15889,auto,1
A00133,37,88863,510,1.6,Master,Male,White,13703,personal,1
A00134,49,29846,684,6.5,Bachelor,Female,White,10565,education,1
A00135,23,48878,696,0.1,High School,Female,White,30371,education,1
A00136,52,82523,597,4.6,Other,Male,Black,85588,business,0
A00137,53,20000,691,0.8,Bachelor,Female,Hispanic,46472,home,1
A00138,30,47356,651,16.7,Master,Male,White,17018,business,1
A00139,27,37889,572,1.5,Master,Male,Black,49574,education,0
A00140,48,45238,733,0.6,Bachelor,Female,White,29065,business,1
A00141,32,36280,634,11.3,High School,Female,White,21320,personal,0
A00142,62,53240,647,0.6,High School,Male,Asian,20282,education,0
A00143,55,155465,642,2.3,Bachelor,Female,Hispanic,18770,personal,0
